artist_id,name,country,primary_genre,debut_year,label_id
1,Thylen Verun,France,Rock,1988,15
2,Kaledra Tander,South Korea,Electronic,2020,9
3,Ventra Quelver,France,R&B,1998,15
4,Selvyn Selva,Sweden,Metal,2007,30
5,Tarwen Morvon,Argentina,Rock,1997,9
6,Jorvyn Halvwick,Australia,R&B,2020,16
7,Boravel Morvon,India,R&B,1990,1
8,Holven Falwick,Netherlands,Country,2015,18
9,Harfen Sornwick,South Korea,Pop,2011,19
10,Elsten Quelborn,US,R&B,2011,29
11,Jorvyn Delwyn,Sweden,Rock,2010,25
12,Sornyx Vanner,India,Hip-Hop,1999,29
13,Drelwyn Halfeld,Nigeria,Classical,2003,9
14,Quelvin Stonfeld,India,Country,2002,7
15,Quelya Morvon,Australia,Pop,2000,13
16,Ventra Vernwick,France,Metal,2013,22
17,Mirel Morvon,Argentina,R&B,1999,19
18,Stellan Caldorn,France,Jazz,2015,20
19,Calvris Holwick,Australia,R&B,1990,23
20,Wynvel Halvwick,Sweden,Electronic,2011,14
21,Narevyn Crestfeld,Netherlands,R&B,2020,10
22,Haston Stelborne,South Korea,Hip-Hop,2000,14
23,Halveth Crestorn,Brazil,Metal,1988,10
24,Elsten Sornwick,Mexico,Jazz,2017,15
25,Narevyn Vernwick,Nigeria,Hip-Hop,1993,10
26,Calveth Solveld,India,Electronic,2007,8
27,Lorvyn Quelver,Australia,Country,1992,15
28,Kaven Sornwick,Japan,Classical,2003,5
29,Harfen Crowel,Canada,Metal,2017,2
30,Solindra Drossel,Canada,Country,2021,18
31,Rylith Wyndorn,Brazil,Metal,2016,29
32,Mariva Wynfeld,Nigeria,Electronic,2005,25
33,Ventra Holsten,Japan,Rock,2006,8
34,Morveth Morborne,UK,Hip-Hop,1997,8
35,Tyndra Norden,Brazil,Classical,2009,18
36,Drevindra Dressel,India,Classical,2012,29
37,Morwyn Quelborn,Japan,Pop,2010,10
38,Torwyn Wyndwick,Nigeria,Folk,2002,16
39,Ventra Brennor,US,Classical,2009,22
40,Kelva Quelborn,Mexico,Metal,1989,30
41,Stelindra Holsten,UK,Classical,1996,28
42,Calveth Drossel,Brazil,Jazz,2001,15
43,Steldra Vernwick,Nigeria,Classical,2004,27
44,Rylith Morborne,US,Jazz,2002,21
45,Elsten Tarwin,Australia,Pop,1997,8
46,Calvris Calvfeld,Australia,Country,2004,25
47,Calvris Bresken,Germany,Rock,1989,30
48,Drevindra Bloth,Netherlands,Electronic,1992,19
49,Kaldra Morne,Nigeria,Folk,1990,12
50,Trineth Solwick,South Korea,Jazz,1988,28
51,Norwyn Vanner,France,Country,1997,14
52,Kelva Halvwick,Nigeria,Country,2017,14
53,Wynvel Quelver,India,Rock,2005,29
54,Zelvon Halvfield,Mexico,Classical,2009,1
55,Holveth Caldren,Australia,Jazz,2004,11
56,Lorvyn Holfeld,US,Metal,2000,3
57,Brevan Holfeld,Nigeria,Electronic,2018,21
58,Morva Solveld,Germany,Electronic,2013,23
59,Holveth Calvfeld,Japan,Metal,2021,12
60,Selvyn Solveld,Netherlands,Country,2005,10
61,Zelvon Tarborn,France,Rock,2022,25
62,Morva Stonfeld,Germany,Folk,2021,20
63,Kaven Stelborne,Australia,Jazz,1999,10
